,createdAt,merchant,category,amount
4705,2021-06-18 22:01:54,Airbnb,Travel,50.15
7996,2021-06-18 23:12:45,Amazon,Shopping,33.63
8497,2021-06-19 02:45:54,Starbucks,Health,113.12
1384,2021-06-19 05:41:53,Netflix,Entertainment,88.45
6945,2021-06-19 08:09:14,Starbucks,Health,292.18
8149,2021-06-19 13:43:34,Uber,Transportation,120.16
7089,2021-06-19 15:37:08,Amazon,Entertainment,245.13
2731,2021-06-20 02:27:44,Spotify,Entertainment,223.86
3267,2021-06-20 05:10:52,Starbucks,Dining,163.16
2381,2021-06-20 05:51:02,Apple Store,Electronics,245.51
712,2021-06-20 11:07:09,Amazon,Shopping,380.32
7180,2021-06-20 11:58:05,Starbucks,Dining,227.48
4710,2021-06-20 14:27:48,Amazon,Entertainment,464.72
118,2021-06-20 17:37:31,Airbnb,Travel,215.73
1812,2021-06-20 19:21:43,Airbnb,Travel,408.17
2765,2021-06-20 21:02:56,Netflix,Entertainment,271.95
3402,2021-06-21 00:24:28,Walmart,Shopping,287.89
8110,2021-06-21 05:04:48,Netflix,Entertainment,238.42
1625,2021-06-21 05:13:58,Starbucks,Dining,40.4
978,2021-06-21 09:45:46,Walmart,Shopping,450.9
9528,2021-06-21 13:14:20,Target,Groceries,174.6
9274,2021-06-22 00:54:28,Best Buy,Electronics,189.98
9424,2021-06-22 03:10:35,Airbnb,Travel,430.84
5827,2021-06-22 03:23:45,Uber,Transportation,189.03
2121,2021-06-22 13:05:37,Airbnb,Travel,58.7
5852,2021-06-22 22:16:04,Apple Store,Electronics,336.49
4225,2021-06-22 22:59:44,Netflix,Entertainment,9.69
3901,2021-06-23 00:26:19,Uber,Travel,214.23
3002,2021-06-23 02:06:43,Target,Groceries,151.85
7303,2021-06-23 10:46:21,Apple Store,Shopping,466.17
1983,2021-06-23 18:41:26,Airbnb,Travel,399.16
3361,2021-06-23 22:05:57,Starbucks,Dining,192.42
8361,2021-06-24 05:15:34,Amazon,Travel,386.58
9456,2021-06-24 06:13:55,Apple Store,Shopping,145.96
9518,2021-06-24 07:32:47,Walmart,Utilities,236.7
9218,2021-06-24 10:34:10,Apple Store,Shopping,323.82
1611,2021-06-24 13:06:46,Starbucks,Health,239.21
6040,2021-06-24 14:16:01,Starbucks,Health,472.96
456,2021-06-25 00:14:21,Netflix,Entertainment,22.1
2286,2021-06-25 14:17:56,Starbucks,Dining,236.09
9836,2021-06-25 14:47:52,Airbnb,Travel,82.15
1185,2021-06-25 18:27:35,Airbnb,Travel,181.59
5422,2021-06-26 08:27:21,Best Buy,Electronics,491.11
8986,2021-06-26 13:00:42,Airbnb,Travel,318.85
3914,2021-06-26 14:10:13,Best Buy,Electronics,44.81
7059,2021-06-26 17:03:41,Target,Health,72.44
4987,2021-06-26 19:09:35,Best Buy,Electronics,379.48
3871,2021-06-26 20:01:42,Starbucks,Health,97.66
5742,2021-06-26 21:45:44,Walmart,Shopping,233.36
1604,2021-06-26 22:02:07,Airbnb,Travel,131.12
8536,2021-06-26 23:00:21,Netflix,Entertainment,287.14
3461,2021-06-27 00:39:54,Starbucks,Dining,475.57
3037,2021-06-27 19:25:26,Apple Store,Shopping,35.78
100,2021-06-28 04:33:07,Airbnb,Travel,433.59
5954,2021-06-28 06:45:52,Uber,Transportation,269.75
6002,2021-06-28 12:17:05,Airbnb,Travel,390.19
4816,2021-06-28 14:00:49,Amazon,Shopping,136.57
7361,2021-06-28 14:56:42,Target,Shopping,151.42
7454,2021-06-28 20:14:38,Target,Health,58.77
9685,2021-06-29 08:21:00,Apple Store,Electronics,180.01
528,2021-06-29 09:22:26,Airbnb,Travel,402.25
8406,2021-06-29 10:31:18,Target,Groceries,342.44
8928,2021-06-29 16:03:21,Best Buy,Electronics,347.78
3928,2021-06-29 21:36:56,Airbnb,Travel,35.01
7448,2021-06-29 23:31:25,Target,Health,61.77
8032,2021-06-30 01:43:55,Apple Store,Electronics,473.53
1310,2021-06-30 02:38:22,Uber,Travel,194.26
8861,2021-06-30 03:54:08,Starbucks,Health,37.58
5993,2021-06-30 05:18:15,Uber,Travel,191.08
9475,2021-06-30 08:44:35,Spotify,Entertainment,16.67
7144,2021-06-30 20:44:37,Target,Shopping,188.75
67,2021-07-01 00:14:10,Amazon,Travel,286.0
3196,2021-07-01 00:51:43,Airbnb,Travel,408.47
315,2021-07-01 10:32:58,Airbnb,Travel,365.44
1802,2021-07-01 14:41:38,Amazon,Shopping,15.28
7978,2021-07-01 19:45:14,Airbnb,Travel,89.52
9721,2021-07-01 23:00:43,Amazon,Shopping,414.75
9845,2021-07-02 06:01:08,Apple Store,Shopping,298.75
6909,2021-07-02 09:04:54,Target,Health,439.08
576,2021-07-02 09:18:52,Airbnb,Travel,488.01
6370,2021-07-02 14:15:32,Best Buy,Electronics,73.39
4366,2021-07-02 22:36:39,Target,Shopping,367.15
9906,2021-07-03 00:37:57,Amazon,Shopping,282.55
1323,2021-07-03 04:49:26,Best Buy,Shopping,488.95
4717,2021-07-03 05:00:36,Starbucks,Health,55.34
6123,2021-07-03 06:04:30,Uber,Travel,55.25
13,2021-07-03 12:49:11,Walmart,Shopping,436.96
1892,2021-07-03 12:53:30,Netflix,Entertainment,48.14
3883,2021-07-03 13:41:29,Target,Health,159.17
774,2021-07-03 20:55:33,Netflix,Entertainment,456.93
2752,2021-07-03 22:48:25,Target,Groceries,208.85
9244,2021-07-04 01:36:35,Spotify,Entertainment,110.78
3574,2021-07-04 02:29:04,Best Buy,Electronics,336.97
7440,2021-07-04 04:26:02,Walmart,Utilities,26.59
5847,2021-07-04 07:12:33,Target,Shopping,134.09
4100,2021-07-04 09:59:11,Starbucks,Health,399.97
8060,2021-07-04 13:34:17,Best Buy,Shopping,403.55
6764,2021-07-04 17:49:56,Best Buy,Shopping,439.0
8073,2021-07-04 19:54:59,Spotify,Entertainment,190.08
6754,2021-07-05 04:52:52,Uber,Travel,38.85
5144,2021-07-05 12:21:06,Uber,Transportation,36.76
9784,2021-07-05 17:20:38,Uber,Transportation,245.15
9300,2021-07-05 18:19:59,Airbnb,Travel,112.3
359,2021-07-05 19:41:05,Spotify,Entertainment,359.41
3788,2021-07-06 02:49:31,Walmart,Utilities,266.4
9481,2021-07-06 06:58:27,Spotify,Entertainment,310.64
7315,2021-07-06 13:34:39,Starbucks,Health,134.92
1748,2021-07-07 06:33:38,Best Buy,Electronics,63.34
2138,2021-07-07 09:43:45,Netflix,Entertainment,477.25
424,2021-07-07 10:29:47,Netflix,Entertainment,345.48
3880,2021-07-07 12:35:54,Starbucks,Dining,280.31
5537,2021-07-07 13:50:14,Starbucks,Health,388.55
1073,2021-07-07 16:17:26,Uber,Travel,338.93
5217,2021-07-07 19:35:22,Amazon,Travel,435.93
3909,2021-07-07 20:37:39,Apple Store,Shopping,99.42
7173,2021-07-08 02:22:07,Spotify,Entertainment,293.28
8134,2021-07-08 03:49:07,Uber,Travel,402.34
6476,2021-07-08 05:53:56,Best Buy,Electronics,199.73
9361,2021-07-08 07:35:55,Spotify,Entertainment,282.32
3616,2021-07-08 20:24:08,Starbucks,Dining,342.77
1856,2021-07-09 02:39:49,Target,Health,233.31
1610,2021-07-09 05:45:25,Airbnb,Travel,373.51
3080,2021-07-09 11:19:07,Target,Shopping,435.71
3787,2021-07-09 21:20:27,Amazon,Entertainment,347.18
6463,2021-07-09 21:32:44,Netflix,Entertainment,490.44
453,2021-07-09 23:10:05,Uber,Travel,331.4
3244,2021-07-10 05:27:23,Apple Store,Electronics,159.65
3459,2021-07-11 02:21:38,Netflix,Entertainment,170.93
6759,2021-07-11 03:02:54,Spotify,Entertainment,396.41
8844,2021-07-11 03:52:13,Target,Shopping,303.4
5540,2021-07-11 07:10:07,Airbnb,Travel,363.75
696,2021-07-11 14:59:35,Uber,Travel,195.54
5239,2021-07-11 18:11:24,Uber,Travel,350.42
9586,2021-07-11 19:11:50,Starbucks,Dining,110.23
4229,2021-07-12 04:37:09,Spotify,Entertainment,31.48
7436,2021-07-12 05:03:56,Airbnb,Travel,424.9
5642,2021-07-12 08:41:51,Target,Shopping,457.58
8182,2021-07-12 20:29:33,Best Buy,Electronics,381.62
8714,2021-07-12 20:36:46,Apple Store,Electronics,144.03
5135,2021-07-13 10:02:30,Apple Store,Electronics,342.23
1363,2021-07-13 15:42:54,Starbucks,Dining,263.92
746,2021-07-13 16:26:14,Spotify,Entertainment,496.88
9149,2021-07-14 01:58:29,Walmart,Shopping,50.69
5863,2021-07-14 02:17:19,Best Buy,Shopping,137.98
4651,2021-07-14 08:25:25,Netflix,Entertainment,17.11
2282,2021-07-14 10:40:17,Spotify,Entertainment,229.63
2069,2021-07-14 16:42:43,Target,Groceries,150.9
6505,2021-07-14 19:37:11,Netflix,Entertainment,103.7
7141,2021-07-14 22:10:04,Walmart,Groceries,79.58
6421,2021-07-14 22:39:01,Target,Health,280.79
2875,2021-07-15 00:38:16,Target,Groceries,350.45
7083,2021-07-15 14:55:51,Best Buy,Shopping,112.21
4576,2021-07-15 15:59:12,Spotify,Entertainment,226.13
5661,2021-07-16 15:25:07,Netflix,Entertainment,171.01
9846,2021-07-16 21:44:13,Spotify,Entertainment,109.41
9317,2021-07-17 07:40:43,Netflix,Entertainment,306.08
7064,2021-07-17 11:11:00,Amazon,Shopping,245.54
2849,2021-07-17 11:12:49,Airbnb,Travel,109.99
4394,2021-07-17 14:30:10,Uber,Travel,379.98
9853,2021-07-18 12:14:27,Uber,Transportation,259.73
9469,2021-07-18 13:03:58,Netflix,Entertainment,64.84
6015,2021-07-18 16:17:49,Starbucks,Dining,395.6
7409,2021-07-18 17:19:34,Apple Store,Shopping,138.3
7304,2021-07-18 19:15:47,Starbucks,Health,344.33
26,2021-07-18 22:26:23,Best Buy,Shopping,196.52
5351,2021-07-19 06:09:25,Starbucks,Health,68.56
1999,2021-07-19 08:27:37,Airbnb,Travel,169.31
9396,2021-07-19 09:58:11,Netflix,Entertainment,303.52
2996,2021-07-19 16:27:26,Target,Health,215.13
7405,2021-07-19 16:34:32,Target,Shopping,39.46
8412,2021-07-19 16:45:10,Airbnb,Travel,154.97
4993,2021-07-19 19:36:40,Starbucks,Health,101.14
579,2021-07-20 00:40:28,Apple Store,Electronics,446.77
8337,2021-07-20 06:55:06,Spotify,Entertainment,381.17
192,2021-07-20 12:04:09,Walmart,Shopping,175.18
7838,2021-07-20 12:11:47,Starbucks,Health,100.92
6517,2021-07-20 13:13:30,Target,Groceries,112.5
8111,2021-07-20 14:25:43,Starbucks,Dining,137.08
72,2021-07-20 15:56:56,Apple Store,Shopping,76.31
6017,2021-07-20 17:59:53,Starbucks,Health,278.95
8845,2021-07-20 18:22:02,Spotify,Entertainment,316.54
1388,2021-07-21 01:57:20,Starbucks,Health,251.42
605,2021-07-21 06:07:20,Target,Groceries,273.7
8207,2021-07-21 12:05:55,Amazon,Entertainment,60.31
4369,2021-07-21 12:14:04,Airbnb,Travel,258.61
3327,2021-07-22 08:20:45,Walmart,Groceries,412.72
5782,2021-07-22 11:27:07,Netflix,Entertainment,100.22
5983,2021-07-22 13:09:06,Amazon,Travel,46.4
3837,2021-07-22 13:46:17,Apple Store,Shopping,370.28
5228,2021-07-22 17:07:18,Amazon,Travel,227.77
9346,2021-07-22 22:07:28,Starbucks,Dining,17.86
3589,2021-07-22 22:39:10,Netflix,Entertainment,193.53
5293,2021-07-22 23:19:24,Best Buy,Electronics,159.92
9534,2021-07-22 23:55:38,Spotify,Entertainment,128.52
5809,2021-07-23 04:51:07,Spotify,Entertainment,396.24
8900,2021-07-23 07:04:24,Walmart,Shopping,200.96
6733,2021-07-23 11:17:17,Amazon,Shopping,153.58
1132,2021-07-23 14:51:52,Spotify,Entertainment,139.9
9367,2021-07-23 14:53:29,Amazon,Entertainment,431.18
8572,2021-07-23 20:47:32,Target,Groceries,107.92
1757,2021-07-23 21:39:30,Apple Store,Electronics,87.69
1603,2021-07-23 22:45:25,Amazon,Travel,430.92
1808,2021-07-24 00:51:24,Airbnb,Travel,328.14
7369,2021-07-24 01:43:39,Best Buy,Electronics,120.1
2449,2021-07-24 06:49:47,Spotify,Entertainment,462.62
4213,2021-07-24 09:05:38,Uber,Travel,315.24
5096,2021-07-24 09:24:24,Uber,Travel,288.25
8345,2021-07-24 10:44:05,Walmart,Utilities,46.24
3197,2021-07-24 15:46:30,Uber,Travel,480.92
3056,2021-07-24 17:54:00,Walmart,Utilities,389.98
3782,2021-07-24 21:49:10,Amazon,Entertainment,191.03
9444,2021-07-24 22:16:16,Spotify,Entertainment,274.82
6830,2021-07-25 05:48:58,Airbnb,Travel,402.74
4026,2021-07-25 12:51:23,Uber,Travel,336.56
7991,2021-07-25 15:22:28,Amazon,Travel,127.81
434,2021-07-25 21:13:40,Spotify,Entertainment,346.61
3193,2021-07-26 01:10:13,Netflix,Entertainment,408.49
5451,2021-07-26 04:35:16,Best Buy,Electronics,213.96
414,2021-07-26 13:40:46,Uber,Transportation,296.27
7169,2021-07-26 13:45:09,Netflix,Entertainment,441.18
5994,2021-07-26 15:45:03,Starbucks,Dining,22.44
5184,2021-07-26 16:51:32,Airbnb,Travel,288.28
3500,2021-07-26 21:28:29,Spotify,Entertainment,42.49
3275,2021-07-26 22:03:24,Netflix,Entertainment,238.37
8278,2021-07-27 03:06:26,Uber,Travel,477.87
6251,2021-07-27 05:45:16,Netflix,Entertainment,319.59
7590,2021-07-27 06:35:22,Target,Shopping,189.87
4317,2021-07-27 07:59:43,Best Buy,Electronics,358.15
7290,2021-07-27 13:24:51,Walmart,Groceries,456.16
277,2021-07-27 18:19:39,Best Buy,Electronics,285.22
6659,2021-07-27 20:47:40,Target,Health,277.44
3501,2021-07-27 23:03:37,Starbucks,Dining,435.27
6133,2021-07-27 23:06:54,Uber,Travel,191.25
1440,2021-07-27 23:29:10,Apple Store,Shopping,240.0
4346,2021-07-28 00:01:35,Starbucks,Dining,272.11
7846,2021-07-28 01:45:41,Starbucks,Health,241.15
3204,2021-07-28 14:30:31,Best Buy,Shopping,265.44
6006,2021-07-28 17:37:44,Starbucks,Dining,48.0
8002,2021-07-28 22:05:22,Apple Store,Shopping,445.2
9078,2021-07-29 05:54:54,Starbucks,Health,247.14
7910,2021-07-29 14:02:58,Airbnb,Travel,51.26
3530,2021-07-30 03:43:36,Target,Health,231.95
3976,2021-07-30 06:58:05,Apple Store,Shopping,46.43
3016,2021-07-30 18:02:55,Starbucks,Health,240.13
8415,2021-07-31 03:42:25,Airbnb,Travel,310.0
2677,2021-07-31 16:09:26,Amazon,Shopping,19.66
2665,2021-07-31 17:04:28,Apple Store,Shopping,471.7
3097,2021-07-31 19:19:00,Walmart,Shopping,474.76
9796,2021-07-31 23:09:19,Uber,Transportation,131.42
9671,2021-08-01 00:03:23,Uber,Transportation,48.23
6930,2021-08-01 00:18:47,Airbnb,Travel,169.76
8162,2021-08-01 04:12:08,Spotify,Entertainment,374.67
5572,2021-08-01 04:31:00,Uber,Travel,130.62
8646,2021-08-01 13:48:55,Walmart,Utilities,430.3
3234,2021-08-01 19:15:35,Spotify,Entertainment,470.61
7406,2021-08-01 20:34:51,Target,Shopping,153.51
5126,2021-08-02 10:56:12,Walmart,Utilities,87.44
4363,2021-08-02 15:34:22,Amazon,Travel,42.4
6213,2021-08-03 03:41:37,Netflix,Entertainment,413.7
8183,2021-08-03 15:03:31,Spotify,Entertainment,475.15
4770,2021-08-03 15:37:30,Target,Shopping,486.77
2394,2021-08-03 17:57:51,Best Buy,Shopping,439.85
7509,2021-08-03 22:02:07,Target,Groceries,37.57
2212,2021-08-04 01:00:34,Target,Shopping,14.16
6669,2021-08-04 05:24:57,Walmart,Utilities,152.35
9616,2021-08-04 12:32:38,Walmart,Groceries,203.27
6049,2021-08-04 16:41:04,Airbnb,Travel,161.5
9896,2021-08-04 17:04:17,Target,Groceries,313.0
973,2021-08-04 18:19:27,Spotify,Entertainment,239.47
2511,2021-08-04 19:06:21,Starbucks,Health,273.24
6916,2021-08-04 20:03:18,Starbucks,Health,8.78
900,2021-08-04 22:31:39,Best Buy,Shopping,209.22
7218,2021-08-05 03:08:42,Starbucks,Health,218.22
4966,2021-08-05 06:31:16,Target,Shopping,432.88
1471,2021-08-05 09:45:05,Uber,Travel,256.51
8618,2021-08-05 14:30:19,Best Buy,Electronics,329.52
6374,2021-08-05 15:14:56,Starbucks,Dining,402.58
2099,2021-08-05 17:13:10,Uber,Travel,335.95
4591,2021-08-05 18:13:50,Apple Store,Shopping,391.37
260,2021-08-05 19:10:43,Best Buy,Electronics,261.77
3547,2021-08-05 23:41:15,Airbnb,Travel,327.65
5472,2021-08-06 04:10:41,Apple Store,Electronics,260.01
541,2021-08-06 07:50:54,Starbucks,Dining,83.62
534,2021-08-06 14:08:22,Target,Health,497.81
6398,2021-08-06 18:36:47,Target,Shopping,192.26
6889,2021-08-06 19:00:46,Airbnb,Travel,191.17
9574,2021-08-06 19:58:18,Walmart,Utilities,298.09
7266,2021-08-06 23:15:39,Starbucks,Dining,285.09
3015,2021-08-07 06:18:55,Walmart,Utilities,102.44
2232,2021-08-08 00:38:46,Amazon,Entertainment,381.94
2157,2021-08-08 03:12:30,Airbnb,Travel,258.53
3422,2021-08-09 07:52:01,Apple Store,Shopping,357.85
9834,2021-08-09 19:56:19,Airbnb,Travel,182.96
9949,2021-08-10 00:26:35,Uber,Transportation,7.77
3888,2021-08-10 05:11:06,Uber,Transportation,295.15
7453,2021-08-10 05:45:40,Airbnb,Travel,233.21
5689,2021-08-10 08:59:02,Airbnb,Travel,159.5
2228,2021-08-10 12:20:54,Apple Store,Shopping,438.27
8547,2021-08-10 15:00:53,Target,Shopping,252.84
147,2021-08-10 15:14:48,Uber,Travel,14.65
8890,2021-08-10 15:26:38,Amazon,Shopping,104.75
3466,2021-08-10 17:36:20,Amazon,Travel,177.06
6899,2021-08-10 18:19:04,Target,Shopping,245.99
9633,2021-08-10 22:00:14,Netflix,Entertainment,381.01
3719,2021-08-10 23:33:10,Target,Shopping,192.15
568,2021-08-11 02:10:52,Best Buy,Electronics,250.24
2364,2021-08-11 03:34:04,Starbucks,Dining,308.87
3119,2021-08-11 09:23:19,Uber,Travel,353.98
2273,2021-08-11 15:03:01,Airbnb,Travel,483.21
789,2021-08-11 16:03:23,Apple Store,Shopping,310.9
1434,2021-08-11 16:16:03,Walmart,Groceries,68.76
1286,2021-08-12 04:23:36,Airbnb,Travel,192.25
9383,2021-08-12 05:49:06,Walmart,Groceries,174.55
7401,2021-08-12 08:14:01,Amazon,Travel,301.94
6534,2021-08-12 16:49:33,Starbucks,Health,86.46
2651,2021-08-12 17:28:07,Spotify,Entertainment,304.03
3238,2021-08-13 03:59:12,Netflix,Entertainment,137.36
9550,2021-08-13 15:20:15,Airbnb,Travel,160.92
8210,2021-08-13 19:02:27,Spotify,Entertainment,312.25
1508,2021-08-13 21:57:08,Apple Store,Electronics,315.4
1789,2021-08-14 03:40:14,Apple Store,Shopping,55.28
2512,2021-08-14 04:38:07,Uber,Travel,447.09
6445,2021-08-15 00:14:09,Amazon,Entertainment,401.82
4888,2021-08-15 05:57:08,Airbnb,Travel,427.14
780,2021-08-15 08:42:59,Airbnb,Travel,290.09
6633,2021-08-15 10:40:57,Airbnb,Travel,403.89
932,2021-08-15 14:15:33,Spotify,Entertainment,295.66
5719,2021-08-15 18:34:06,Apple Store,Shopping,113.55
5019,2021-08-16 01:05:49,Netflix,Entertainment,214.6
6844,2021-08-16 03:22:17,Walmart,Shopping,152.72
2140,2021-08-16 06:34:18,Target,Health,30.05
6598,2021-08-16 13:53:11,Target,Groceries,221.28
9684,2021-08-16 16:22:23,Uber,Travel,249.25
1329,2021-08-16 22:57:12,Target,Health,376.23
166,2021-08-17 13:36:34,Walmart,Shopping,171.5
5980,2021-08-17 16:58:29,Airbnb,Travel,151.53
4980,2021-08-17 19:38:20,Amazon,Travel,94.4
612,2021-08-17 20:40:03,Apple Store,Electronics,486.04
2733,2021-08-17 22:39:57,Spotify,Entertainment,497.3
4049,2021-08-18 04:33:20,Uber,Travel,132.44
7228,2021-08-18 16:32:10,Starbucks,Dining,56.33
5407,2021-08-18 19:18:22,Spotify,Entertainment,249.63
1173,2021-08-18 19:20:24,Airbnb,Travel,300.71
8553,2021-08-18 23:08:45,Apple Store,Electronics,360.59
7225,2021-08-18 23:47:12,Apple Store,Electronics,220.67
797,2021-08-18 23:52:24,Netflix,Entertainment,317.67
4231,2021-08-19 00:24:19,Uber,Transportation,368.35
247,2021-08-19 04:40:08,Apple Store,Shopping,138.88
3920,2021-08-19 16:15:08,Netflix,Entertainment,39.05
2695,2021-08-19 16:17:43,Target,Shopping,315.75
6272,2021-08-20 06:56:08,Amazon,Entertainment,365.89
937,2021-08-20 09:21:08,Walmart,Utilities,369.63
2201,2021-08-20 13:28:12,Best Buy,Shopping,445.01
5169,2021-08-20 15:37:22,Best Buy,Electronics,320.79
5761,2021-08-20 15:55:45,Best Buy,Shopping,241.81
8682,2021-08-20 17:15:29,Airbnb,Travel,89.25
2790,2021-08-20 20:43:13,Apple Store,Electronics,298.69
5022,2021-08-20 21:27:18,Airbnb,Travel,199.6
6631,2021-08-21 02:23:32,Amazon,Entertainment,27.99
3300,2021-08-21 06:29:44,Best Buy,Shopping,83.97
9413,2021-08-21 12:09:55,Target,Shopping,363.05
2398,2021-08-21 17:26:39,Starbucks,Health,305.38
1517,2021-08-21 21:15:17,Best Buy,Electronics,464.17
8352,2021-08-21 23:05:46,Apple Store,Electronics,70.03
9813,2021-08-21 23:10:02,Uber,Transportation,178.58
1197,2021-08-22 03:42:48,Walmart,Utilities,143.73
5794,2021-08-22 03:55:43,Starbucks,Dining,401.39
2571,2021-08-22 06:27:50,Spotify,Entertainment,241.22
141,2021-08-22 13:38:31,Walmart,Groceries,107.85
7122,2021-08-22 14:01:04,Best Buy,Electronics,414.15
9408,2021-08-22 14:58:20,Amazon,Travel,353.57
8540,2021-08-22 19:19:33,Starbucks,Health,110.94
6404,2021-08-22 22:23:51,Uber,Transportation,165.5
6812,2021-08-23 02:12:35,Airbnb,Travel,68.51
1104,2021-08-23 02:46:44,Target,Groceries,481.59
7183,2021-08-23 11:37:15,Apple Store,Shopping,214.0
823,2021-08-23 14:02:31,Uber,Transportation,167.86
9096,2021-08-23 18:47:08,Airbnb,Travel,428.58
6401,2021-08-23 19:06:17,Airbnb,Travel,42.68
8792,2021-08-24 00:21:03,Uber,Travel,482.95
928,2021-08-24 00:37:28,Spotify,Entertainment,74.9
2505,2021-08-24 01:53:22,Starbucks,Health,220.0
7028,2021-08-24 05:49:44,Walmart,Groceries,207.8
9204,2021-08-24 14:04:47,Apple Store,Electronics,139.33
4368,2021-08-24 15:30:41,Amazon,Shopping,438.75
7476,2021-08-24 15:56:44,Netflix,Entertainment,276.73
8655,2021-08-24 21:18:17,Uber,Travel,494.73
9191,2021-08-25 01:28:29,Target,Shopping,357.84
3558,2021-08-25 06:58:55,Best Buy,Electronics,115.72
6305,2021-08-25 09:40:28,Target,Shopping,304.35
7101,2021-08-25 13:57:13,Uber,Transportation,476.8
9250,2021-08-25 19:16:09,Amazon,Travel,141.16
8575,2021-08-25 21:49:03,Walmart,Groceries,493.58
3870,2021-08-26 02:57:04,Apple Store,Shopping,104.53
8706,2021-08-26 06:23:03,Walmart,Groceries,398.0
2891,2021-08-26 07:34:59,Best Buy,Electronics,66.08
8506,2021-08-26 08:39:33,Walmart,Groceries,392.64
457,2021-08-26 14:11:13,Walmart,Shopping,181.68
5684,2021-08-26 15:11:25,Airbnb,Travel,407.31
213,2021-08-26 21:52:37,Airbnb,Travel,468.43
7515,2021-08-27 02:58:11,Airbnb,Travel,312.25
6915,2021-08-27 09:26:54,Uber,Travel,407.77
9566,2021-08-27 14:03:03,Spotify,Entertainment,118.99
2839,2021-08-27 21:08:06,Walmart,Groceries,323.15
8390,2021-08-28 12:38:11,Best Buy,Electronics,146.91
7735,2021-08-28 14:52:00,Target,Shopping,326.43
2379,2021-08-29 00:44:50,Best Buy,Shopping,188.2
3838,2021-08-29 02:30:35,Best Buy,Shopping,164.53
5049,2021-08-29 07:23:49,Airbnb,Travel,101.39
8379,2021-08-29 10:45:48,Amazon,Shopping,476.16
5868,2021-08-29 10:50:16,Starbucks,Health,212.22
9758,2021-08-29 13:55:26,Amazon,Travel,383.11
3767,2021-08-29 19:32:57,Spotify,Entertainment,362.77
8381,2021-08-30 01:21:17,Best Buy,Electronics,92.98
583,2021-08-30 08:11:57,Spotify,Entertainment,356.22
6758,2021-08-30 08:30:04,Airbnb,Travel,305.15
7517,2021-08-30 09:42:45,Starbucks,Dining,349.37
4606,2021-08-30 14:21:30,Walmart,Groceries,283.74
8407,2021-08-30 20:56:09,Netflix,Entertainment,212.91
965,2021-08-30 22:21:41,Airbnb,Travel,264.79
9281,2021-08-31 03:57:47,Amazon,Entertainment,261.69
350,2021-08-31 08:06:32,Apple Store,Shopping,289.82
6818,2021-08-31 11:25:47,Uber,Transportation,437.61
9622,2021-08-31 16:19:50,Spotify,Entertainment,366.47
6638,2021-08-31 18:17:30,Airbnb,Travel,489.87
513,2021-09-01 02:02:28,Amazon,Travel,488.83
115,2021-09-01 02:44:24,Uber,Transportation,159.37
4012,2021-09-01 05:34:50,Spotify,Entertainment,282.52
4950,2021-09-01 09:39:12,Apple Store,Electronics,419.61
1143,2021-09-01 15:22:04,Amazon,Entertainment,293.18
5963,2021-09-01 17:26:16,Target,Groceries,325.06
9067,2021-09-01 20:54:04,Amazon,Shopping,21.68
6859,2021-09-02 02:28:01,Amazon,Shopping,88.23
6227,2021-09-02 04:28:51,Amazon,Travel,399.27
8402,2021-09-02 09:25:50,Apple Store,Electronics,37.56
4754,2021-09-02 13:45:18,Spotify,Entertainment,49.2
2132,2021-09-02 16:46:05,Amazon,Entertainment,479.34
3024,2021-09-02 19:02:38,Walmart,Shopping,247.91
8591,2021-09-02 19:52:43,Best Buy,Shopping,237.5
8556,2021-09-02 20:11:19,Apple Store,Electronics,471.38
7296,2021-09-02 20:39:34,Starbucks,Dining,66.28
8631,2021-09-02 20:50:43,Amazon,Entertainment,84.23
5253,2021-09-02 21:24:14,Apple Store,Electronics,306.86
7865,2021-09-03 03:52:44,Best Buy,Electronics,75.2
8084,2021-09-03 05:11:51,Best Buy,Electronics,410.09
2082,2021-09-03 07:39:22,Apple Store,Electronics,325.08
8494,2021-09-03 08:08:33,Netflix,Entertainment,87.95
829,2021-09-03 11:44:13,Apple Store,Shopping,195.16
7400,2021-09-03 13:35:19,Walmart,Utilities,473.47
8529,2021-09-03 14:15:47,Starbucks,Health,362.08
6018,2021-09-03 14:15:50,Airbnb,Travel,483.99
3308,2021-09-03 21:38:43,Uber,Travel,15.75
8275,2021-09-04 00:20:41,Spotify,Entertainment,428.98
2551,2021-09-04 01:29:07,Uber,Transportation,229.5
7624,2021-09-04 02:35:56,Amazon,Travel,406.57
6485,2021-09-04 05:12:45,Airbnb,Travel,176.03
8031,2021-09-04 17:46:59,Best Buy,Shopping,235.98
3938,2021-09-04 19:19:59,Walmart,Utilities,458.12
3577,2021-09-04 19:47:29,Target,Shopping,290.63
2045,2021-09-05 04:13:44,Spotify,Entertainment,330.91
989,2021-09-05 06:56:46,Best Buy,Electronics,85.63
5207,2021-09-05 07:46:03,Uber,Transportation,360.88
6808,2021-09-06 05:58:16,Apple Store,Electronics,485.91
352,2021-09-06 09:08:15,Apple Store,Electronics,311.01
9948,2021-09-06 10:50:06,Best Buy,Shopping,24.51
151,2021-09-06 11:22:05,Starbucks,Health,429.2
9275,2021-09-06 14:20:36,Starbucks,Health,424.99
6955,2021-09-06 17:47:08,Amazon,Entertainment,374.28
529,2021-09-06 17:49:13,Uber,Travel,443.55
5941,2021-09-06 18:56:40,Target,Shopping,411.87
